id,season,winner
611,2016,Royal Challengers Bangalore
612,2016,Kings XI Punjab
613,2016,Sunrisers Hyderabad
614,2016,Gujarat Lions
615,2016,Royal Challengers Bangalore
616,2016,Sunrisers Hyderabad
617,2016,Mumbai Indians
618,2016,Delhi Daredevils
619,2016,Kings XI Punjab
620,2016,Royal Challengers Bangalore
621,2016,Kolkata Knight Riders
622,2016,Sunrisers Hyderabad
623,2016,Mumbai Indians
624,2016,Royal Challengers Bangalore
625,2016,Rising Pune Supergiants
626,2016,Royal Challengers Bangalore
627,2016,Gujarat Lions
628,2016,Delhi Daredevils
629,2016,Rising Pune Supergiants
630,2016,Gujarat Lions
631,2016,Kolkata Knight Riders
632,2016,Royal Challengers Bangalore
633,2016,Royal Challengers Bangalore
634,2016,Sunrisers Hyderabad
635,2016,Sunrisers Hyderabad
636,2016,Sunrisers Hyderabad
